what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1373812811596
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1373812811694
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1373812811787
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1373812812102
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1373812812322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373812812899
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1373812815552
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1373812816771
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1373812816887
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1373812817045
opened,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1373812817123
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1373812817588
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1373812817902
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1373812817903
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1373812869053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373812878032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373812883837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373812888598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373812889810
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1373812893544
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1373812893578
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1373812893633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373812896879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373813179019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373813190396
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1373813190471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373813292947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373813294878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373813296130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373813297634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373813341707
opened,view,com.android.ide.eclipse.ddms,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ddms.views.LogCatView",1373813341798
activated,view,com.android.ide.eclipse.ddms,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ddms.views.LogCatView",1373813341820
